team,Pos,P_ov,W_ov,D_ov,L_ov,F_ov,A_ov,W_hm,D_hm,L_hm,F_hm,A_hm,W_aw,D_aw,L_aw,F_aw,A_aw,GD,PTS
Arsenal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Bournemouth,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton & Hove Albion,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huddersfield Town,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester City,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle United,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoke City,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swansea City,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watford,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Ham United,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
