,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
245,Otamendi,2,65,113,1.7384615384615385,4.913043478260869,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,0
100,Alonso,2,73,137,1.8767123287671232,5.956521739130435,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,0
532,Aurier,2,59,48,0.8135593220338984,2.0869565217391304,d,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0
12,Mustafi,2,55,67,1.2181818181818183,2.9130434782608696,a,0,2,0,6,6,6,6,0,0,0,0,14,7,7,0,0,0,0,0,8,1,1,1,2,0
288,Yedlin,2,44,44,1.0,1.9130434782608696,a,0,0,0,0,2,2,2,0,8,2,2,3,-1,1,1,1,2,2,1,2,5,6,2,1,0
234,Salah,3,102,179,1.7549019607843137,7.782608695652174,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,0
247,Sterling,3,89,152,1.7078651685393258,6.608695652173913,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,5,0
497,Choupo-Moting,3,54,88,1.6296296296296295,3.8260869565217392,a,1,3,2,15,2,2,5,2,5,2,5,10,2,2,2,2,1,0,13,2,1,1,2,6,0
70,Groß,3,58,105,1.8103448275862069,4.565217391304348,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,0
250,Fernandinho,3,51,76,1.4901960784313726,3.3043478260869565,a,6,2,2,2,3,3,2,7,2,13,5,3,1,2,1,2,1,2,6,3,2,3,1,2,0
394,Kane,4,130,154,1.1846153846153846,6.695652173913044,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,0
373,Ayew,4,51,70,1.3725490196078431,3.0434782608695654,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,0,0
437,Rodriguez,4,55,65,1.1818181818181819,2.8260869565217392,a,1,2,5,2,2,2,2,2,2,6,2,2,2,0,2,2,1,1,1,2,8,2,5,9,0
260,de Gea,1,59,127,2.152542372881356,5.521739130434782,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,7,6,0
260,de Gea,1,59,127,2.152542372881356,5.521739130434782,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,7,6,0
