,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PFA6
54,Ryan,1,45,88,1.9555555555555555,5.176470588235294,a,2,1,6,2,1,9,3,3,6,2,6,2,3,9,0,2,2,11,6,2,6,3,1,0,4.833333333333333
260,de Gea,1,59,114,1.9322033898305084,6.705882352941177,a,6,6,7,2,7,8,6,9,1,9,4,3,6,1,8,2,11,3,1,1,7,6,0,0,3.0
38,Aké,2,49,61,1.2448979591836735,3.588235294117647,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,0,2.1666666666666665
164,Schindler,2,46,65,1.4130434782608696,3.823529411764706,a,6,9,6,1,1,9,0,0,1,1,-2,0,5,0,1,11,1,2,2,1,9,1,0,0,2.5
380,Vertonghen,2,60,75,1.25,4.411764705882353,a,6,0,2,6,7,1,6,5,5,2,9,1,1,0,1,2,6,0,6,1,0,2,6,0,2.5
245,Otamendi,2,65,111,1.7076923076923076,6.529411764705882,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,0,4.166666666666667
100,Alonso,2,73,131,1.7945205479452055,7.705882352941177,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,0,9.166666666666666
70,Groß,3,58,103,1.7758620689655173,6.0588235294117645,a,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,0,3.6666666666666665
414,Doucouré,3,53,95,1.7924528301886793,5.588235294117647,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,0,4.0
132,Milivojevic,3,46,64,1.391304347826087,3.764705882352941,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,0,3.8333333333333335
234,Salah,3,101,179,1.7722772277227723,10.529411764705882,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,0,8.666666666666666
247,Sterling,3,89,147,1.651685393258427,8.647058823529411,a,0,6,4,0,9,13,3,15,0,7,5,3,13,9,2,2,9,12,13,11,1,9,1,0,7.833333333333333
48,Wilson,4,57,57,1.0,3.3529411764705883,a,0,0,0,0,0,0,0,0,0,1,2,17,2,2,1,1,2,0,2,7,2,6,12,0,4.833333333333333
161,Rooney,4,75,94,1.2533333333333334,5.529411764705882,a,9,8,1,1,2,1,1,9,6,2,2,0,0,15,5,8,8,13,0,0,1,1,1,0,2.6666666666666665
394,Kane,4,130,146,1.123076923076923,8.588235294117647,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,0,8.333333333333334
