,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PFA6,PFA3
532.0,Aurier,2,59,74,1.2542372881355932,2.3870967741935485,a,TOT,0,0,0,0,1,-2,0,0,2,2,6,0,0,1,0,0,15,0,8,1,0,3,9,2,0,0,0,6,7,13,0,0,4.333333333333333,3.3333333333333335
381.0,Davies,2,59,119,2.016949152542373,3.838709677419355,a,TOT,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,0,4.333333333333333,1.0
263.0,Smalling,2,54,84,1.5555555555555556,2.7096774193548385,a,MUN,0,0,0,0,0,1,6,5,1,8,2,7,6,1,2,1,6,2,1,0,0,0,6,7,1,8,1,2,8,2,0,0,3.5,1.6666666666666667
520.0,Sánchez,2,60,84,1.4,2.7096774193548385,a,TOT,0,0,1,6,6,1,6,6,2,0,6,1,2,1,-2,0,0,0,7,1,0,2,6,0,6,2,8,8,6,2,0,0,4.333333333333333,1.3333333333333333
525.0,Hoedt,2,50,49,0.98,1.5806451612903225,a,SOU,0,0,0,1,7,2,0,0,0,1,0,1,2,1,2,0,0,2,5,0,5,0,1,3,1,4,1,2,8,0,0,0,2.5,1.3333333333333333
199.0,Mahrez,3,88,161,1.8295454545454546,5.193548387096774,a,LEI,5,11,2,2,2,2,1,8,10,6,7,2,2,9,6,9,8,2,5,8,5,14,3,8,0,0,1,2,10,11,0,0,4.0,3.5
70.0,Groß,3,60,135,2.25,4.354838709677419,a,BHA,2,2,3,18,7,3,1,6,6,7,3,10,5,3,2,2,1,3,11,1,3,2,2,2,2,13,2,5,6,2,0,0,4.666666666666667,1.3333333333333333
281.0,Mkhitaryan,3,77,90,1.1688311688311688,2.903225806451613,a,ARS,11,10,5,2,9,3,3,3,1,3,2,0,1,0,0,0,0,0,1,0,3,0,0,0,1,13,2,2,2,13,0,0,5.333333333333333,2.5
500.0,Lemina,3,48,51,1.0625,1.6451612903225807,a,SOU,0,2,3,0,3,2,2,2,3,0,0,0,1,2,0,0,2,2,2,2,1,0,1,2,0,10,1,4,3,1,0,0,3.1666666666666665,0.6666666666666666
104.0,Hazard,3,106,149,1.4056603773584906,4.806451612903226,a,CHE,0,0,0,1,1,1,2,2,5,11,3,18,8,1,15,2,3,6,3,3,0,10,1,16,2,8,16,6,2,3,0,0,5.833333333333333,0.8333333333333334
616.0,Aubameyang,4,106,26,0.24528301886792453,0.8387096774193549,a,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,9,9,0,0,4.333333333333333,3.0
71.0,Murray,4,59,99,1.6779661016949152,3.193548387096774,a,BHA,1,2,0,0,1,0,1,2,13,6,8,1,1,2,6,2,1,0,1,1,2,8,2,1,8,6,2,12,7,2,0,0,4.833333333333333,1.5
258.0,Iheanacho,4,65,33,0.5076923076923077,1.064516129032258,a,LEI,1,0,0,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,11,0,0,3.6666666666666665,2.5
375.0,Lloris,1,54,107,1.9814814814814814,3.4516129032258065,a,TOT,7,1,2,6,6,1,6,6,4,2,0,2,2,1,2,2,9,2,6,2,0,2,6,0,7,1,6,7,7,2,0,0,3.8333333333333335,1.5
2.0,Cech,1,53,112,2.1132075471698113,3.6129032258064515,a,ARS,1,3,2,6,10,6,6,1,1,2,2,8,6,6,1,2,6,6,3,1,1,2,2,3,1,2,4,1,2,15,0,0,4.0,2.8333333333333335
