,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,PFA6
381,Davies,2,59,119,2.016949152542373,3.966666666666667,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,0,5.333333333333333
245,Otamendi,2,64,142,2.21875,4.733333333333333,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,8,0,4.833333333333333
117,Tomkins,2,44,58,1.3181818181818181,1.9333333333333333,a,1,2,1,0,0,0,0,0,0,1,0,0,1,6,0,0,3,6,2,7,6,2,6,0,1,2,1,9,1,0,0,2.3333333333333335
219,Matip,2,54,73,1.3518518518518519,2.433333333333333,a,1,6,6,0,2,0,3,6,0,6,10,0,2,6,0,0,0,0,0,6,2,1,1,1,6,0,5,2,1,0,0,2.3333333333333335
288,Yedlin,2,44,60,1.3636363636363635,2.0,a,0,0,0,0,2,2,2,0,8,2,2,3,-1,1,1,1,2,2,1,2,5,6,2,1,1,2,6,0,1,6,0,2.6666666666666665
234,Salah,3,106,237,2.2358490566037736,7.9,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,2,0,9.333333333333334
317,Ward-Prowse,3,51,75,1.4705882352941178,2.5,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,2,8,12,2,2,0,2,0,4.333333333333333
389,Wanyama,3,48,20,0.4166666666666667,0.6666666666666666,a,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,1,3,0,2,0,2.3333333333333335
248,David Silva,3,80,141,1.7625,4.7,a,8,2,6,3,11,11,3,7,3,2,5,6,1,1,9,8,16,0,3,0,0,1,0,2,0,0,0,8,9,16,0,5.5
132,Milivojevic,3,49,96,1.9591836734693877,3.2,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,2,0,4.166666666666667
257,Agüero,4,118,169,1.4322033898305084,5.633333333333334,d,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,0,6.0
235,Firmino,4,95,156,1.6421052631578947,5.2,a,12,2,12,2,2,2,1,2,2,8,2,5,0,2,13,1,2,12,11,13,2,1,8,2,8,2,12,8,5,2,0,6.166666666666667
487,Chicharito,4,67,82,1.2238805970149254,2.7333333333333334,a,2,13,1,2,2,5,2,2,1,9,2,0,0,0,0,0,1,1,1,4,0,2,0,8,5,8,7,1,2,1,0,4.0
240,Ederson,1,56,138,2.4642857142857144,4.6,a,6,2,2,2,6,6,8,1,6,1,2,6,2,2,3,3,7,2,6,6,14,3,1,3,6,2,2,15,6,7,0,6.333333333333333
375,Lloris,1,54,107,1.9814814814814814,3.566666666666667,a,7,1,2,6,6,1,6,6,4,2,0,2,2,1,2,2,9,2,6,2,0,2,6,0,7,1,6,7,7,2,0,5.0
