,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,PFA6
381,Davies,2,59,119,2.016949152542373,4.103448275862069,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,6,0,6.666666666666667
245,Otamendi,2,64,134,2.09375,4.620689655172414,a,8,2,1,5,12,6,5,1,15,0,1,0,0,2,11,11,6,1,7,8,8,2,-1,2,6,2,2,5,6,0,3.8333333333333335
475,Robertson,2,49,65,1.3265306122448979,2.2413793103448274,a,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,6,0,4.333333333333333
356,van der Hoorn,2,44,63,1.4318181818181819,2.1724137931034484,a,0,0,7,0,5,1,0,0,0,1,0,0,6,2,1,6,0,0,0,0,0,0,7,6,2,2,6,1,10,0,4.5
424,Dawson,2,48,61,1.2708333333333333,2.103448275862069,a,6,7,2,1,6,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5,1,1,14,1,1,1,1,7,2,0,2.1666666666666665
234,Salah,3,106,235,2.2169811320754715,8.10344827586207,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,8,0,9.333333333333334
132,Milivojevic,3,49,94,1.9183673469387754,3.2413793103448274,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,2,0,5.0
23,Xhaka,3,52,86,1.6538461538461537,2.9655172413793105,a,10,2,1,3,3,3,3,5,5,2,1,2,3,3,2,2,3,2,7,2,2,2,1,5,2,2,2,2,4,0,2.8333333333333335
42,Stanislas,3,59,57,0.9661016949152542,1.9655172413793103,a,0,0,0,0,0,1,3,2,13,2,0,0,0,0,2,2,2,1,1,0,0,0,0,4,12,1,7,2,2,0,4.666666666666667
363,Ki Sung-yueng,3,49,59,1.2040816326530612,2.0344827586206895,a,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,3,2,0,0,0,0,0,2,3,2,8,11,2,13,0,6.5
394,Kane,4,129,177,1.372093023255814,6.103448275862069,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,5,0,5.166666666666667
257,Agüero,4,119,169,1.4201680672268908,5.827586206896552,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,5,2,0,8.833333333333334
51,King,4,70,71,1.0142857142857142,2.4482758620689653,a,2,2,2,2,2,7,2,2,0,0,2,5,1,7,2,2,2,1,0,5,4,0,0,1,1,6,1,2,8,0,3.1666666666666665
94,Courtois,1,54,111,2.0555555555555554,3.8275862068965516,a,1,6,6,2,6,6,3,2,2,6,7,6,3,6,2,2,2,6,6,6,6,1,6,0,1,1,6,2,2,0,2.0
2,Cech,1,53,97,1.830188679245283,3.3448275862068964,a,1,3,2,6,10,6,6,1,1,2,2,8,6,6,1,2,6,6,3,1,1,2,2,3,1,2,4,1,2,0,2.1666666666666665
