,Name,Position,Cost,Total_Points,Points_Cost,Points_Fixture,Status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,PFA6
100,Alonso,2,72,139,1.9305555555555556,4.964285714285714,a,0,16,6,2,6,0,2,1,1,6,6,14,2,6,2,0,6,14,6,14,6,7,8,6,1,0,0,1,0,2.6666666666666665
381,Davies,2,57,113,1.9824561403508771,4.035714285714286,a,14,2,2,14,0,1,16,0,0,2,1,1,2,0,2,5,1,1,7,0,0,2,6,8,6,1,12,7,0,6.666666666666667
475,Robertson,2,48,59,1.2291666666666667,2.107142857142857,a,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,2,6,9,1,6,1,0,1,1,6,1,6,6,0,3.5
38,Aké,2,50,83,1.66,2.9642857142857144,a,3,1,0,1,2,1,9,2,2,2,7,6,6,1,2,1,2,-1,0,9,2,1,2,2,14,2,0,4,0,4.0
102,Moses,2,64,92,1.4375,3.2857142857142856,a,0,2,5,2,6,6,0,1,0,0,0,0,0,1,9,1,2,7,6,6,1,1,6,17,0,0,12,1,0,6.0
234,Salah,3,105,227,2.1619047619047618,8.107142857142858,a,11,1,11,1,10,7,2,3,7,4,15,16,7,13,5,11,3,8,10,9,14,0,11,2,8,15,13,10,0,9.833333333333334
450,Noble,3,53,56,1.0566037735849056,2.0,a,2,2,2,0,0,2,3,0,0,2,1,1,0,0,0,3,3,6,0,0,0,1,8,3,10,2,3,2,0,4.666666666666667
132,Milivojevic,3,49,92,1.8775510204081634,3.2857142857142856,a,1,2,1,0,1,2,2,1,2,9,2,1,2,3,3,8,1,0,7,2,1,10,3,7,1,10,8,2,0,5.166666666666667
317,Ward-Prowse,3,51,73,1.4313725490196079,2.607142857142857,a,3,1,1,1,1,1,0,0,0,5,1,1,5,0,1,2,1,2,2,0,2,2,15,2,8,12,2,2,0,6.833333333333333
414,Doucouré,3,55,114,2.0727272727272728,4.071428571428571,a,9,3,3,11,1,1,10,2,8,1,3,3,3,7,2,2,2,7,0,5,1,2,9,2,2,10,2,3,0,4.666666666666667
394,Kane,4,129,172,1.3333333333333333,6.142857142857143,a,1,1,2,13,2,13,13,2,16,0,2,1,8,6,2,12,2,1,17,17,0,2,13,8,2,4,6,6,0,6.5
257,Agüero,4,120,162,1.35,5.785714285714286,a,9,2,1,9,20,11,0,0,7,0,8,0,8,2,2,0,6,1,16,2,1,6,5,17,6,2,21,0,0,8.5
373,Jordan Ayew,4,54,86,1.5925925925925926,3.0714285714285716,a,2,2,6,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,8,2,7,2,8,2,8,2,2,2,0,4.0
469,Pope,1,49,119,2.4285714285714284,4.25,a,0,0,0,2,4,6,9,4,3,9,8,8,2,2,2,6,11,6,2,1,6,2,2,2,11,5,3,3,0,4.333333333333333
214,Karius,1,48,43,0.8958333333333334,1.5357142857142858,a,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,2,6,9,8,3,0,4.833333333333333
